SCOPE;TECHNOLOGY;CARRIER AGGREGATION YES/NOT;TARGET ON SCOPE;CITIES ROUTE LINES PLACE (sub-target);AREAS OF INTEREST;TEST MODALITY (N NOMADIC/D DINAMIC);SMARTPHONE MODEL;FIRMWARE VERSION;HANDSET CAPABILITY [THROUGHPUT DL/UL];LAST ACQUISITION TIMING [YYYY_MM];NED MONTH [YYYY_MM];Country;OPERATOR NAME;MCC;MNC;OPCOS;RAN VENDOR;SCENARIO;DatabaseName;Service;Test;Sub-Test;KPI;KPI value;Latitude;Longitude
Cities and Towns;4G+5G_Cap;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S9 (SM-G960F) , Samsung Galaxy S20+ 5G (SM-G986BDS);4.9.59-16162958 dpi@21DHBE20) / Unavailable / PPR1.180610.011.G960FXXU5CSF2 / OMN 19.5.0.0_0 , 4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / OMN 20.9.1.0_0;null;2020_08;2021_02;Italy;Vodafone;222;10;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;Streaming HD Live;Video3;Video3 LIVE YOU TUBE HD - B6 AVG  VIDEO MOS ;4.249107167124748;45.819325687499976;8.82416875
Cities and Towns;5G_Cap;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S20+ 5G (SM-G986BDS);4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / OMN 20.9.1.0_0;null;2020_08;2021_02;Italy;Vodafone;222;10;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;DL CE;ALL;HTTP + HTTPS DOWNLINK - NUMBER OF DL WITH THROUGHPUT > 1 MBPS;118.0;45.81832570338983;8.828394584745759
Cities and Towns;5G_Cap;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S20+ 5G (SM-G986BDS);4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / OMN 20.9.1.0_0;null;2020_08;2021_02;Italy;Vodafone;222;10;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;DL CE;ALL;HTTP + HTTPS DOWNLINK - NUMBER OF DL WITH THROUGHPUT > 10 MBPS;111.0;45.81848376576577;8.828887882882878
Cities and Towns;5G_Cap;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S20+ 5G (SM-G986BDS);4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / OMN 20.9.1.0_0;null;2020_08;2021_02;Italy;Vodafone;222;10;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;DL CE;ALL;HTTP + HTTPS DOWNLINK - NUMBER OF DL WITH THROUGHPUT > 3 MBPS;118.0;45.81832570338983;8.828394584745759
Cities and Towns;5G_Cap;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S20+ 5G (SM-G986BDS);4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / OMN 20.9.1.0_0;null;2020_08;2021_02;Italy;Vodafone;222;10;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;DL CE;ALL;HTTP + HTTPS DOWNLINK - THROUGHPUT STANDARD DEVIATION;23996.1332911539;45.81832570338983;8.828394584745759
Cities and Towns;5G_Cap;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S20+ 5G (SM-G986BDS);4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / OMN 20.9.1.0_0;null;2020_08;2021_02;Italy;Vodafone;222;10;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;DL CE;ALL;HTTP + HTTPS DOWNLINK - DOWNLOAD SPEED [KBIT/S] AVG.;44678.92051749732;45.81832570338983;8.828394584745759
Cities and Towns;5G_Cap;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S20+ 5G (SM-G986BDS);4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / OMN 20.9.1.0_0;null;2020_08;2021_02;Italy;Vodafone;222;10;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;DL CE;ALL;HTTP + HTTPS DOWNLINK - 10TH PERCENTILE THR.;16179.513475609183;45.81832570338983;8.828394584745759
Cities and Towns;5G_Cap;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S20+ 5G (SM-G986BDS);4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / OMN 20.9.1.0_0;null;2020_08;2021_02;Italy;Vodafone;222;10;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;DL CE;ALL;HTTP + HTTPS DOWNLINK - 90TH PERCENTILE THR.;78776.88683928734;45.81832570338983;8.828394584745759
Cities and Towns;5G_Cap;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S20+ 5G (SM-G986BDS);4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / OMN 20.9.1.0_0;null;2020_08;2021_02;Italy;Vodafone;222;10;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;WB;ALL;HTTP + HTTPS BROWSING - D5. SESSION TIME AVG [S];1.4708253424657534;45.817940845890384;8.828303500000004
Cities and Towns;5G_Cap;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S20+ 5G (SM-G986BDS);4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / OMN 20.9.1.0_0;null;2020_08;2021_02;Italy;Vodafone;222;10;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;DL CE;HTTP;HTTP DOWNLINK - NUMBER OF ERRORS IN RETAINABILITY [N];0.0;null;null
